period,group,n,mean_return,median_return
2020,"2020 available capped: BTC, ADA",2,4.163620659328127,4.163620659328127
2020,"2020 available uncapped: ETH, ATOM",2,3.2660584048917385,3.2660584048917385
2021,"Capped: BTC, AVAX, ADA",3,12.585068585106495,5.720071859187447
2021,"Uncapped: ETH, SOL, ATOM, NEAR",4,24.356774330348056,6.9544185736258175
2021,Uncapped excluding SOL,3,5.611517362045638,5.123852545007769
2021,"2020 available capped: BTC, ADA",2,3.082157600475104,3.082157600475104
2021,"2020 available uncapped: ETH, ATOM",2,4.024783741946523,4.024783741946523
2022,"Capped: BTC, AVAX, ADA",3,-0.7905143933138359,-0.8186893274095789
2022,"Uncapped: ETH, SOL, ATOM, NEAR",4,-0.8188597095427674,-0.8228180397480737
2022,Uncapped excluding SOL,3,-0.7773442079516918,-0.7341699155958405
2022,"2020 available capped: BTC, ADA",2,-0.733771708794284,-0.733771708794284
2022,"2020 available uncapped: ETH, ATOM",2,-0.7102832299773842,-0.7102832299773842
2023,"Capped: BTC, AVAX, ADA",3,1.5722193671297804,1.6431810116609231
2023,"Uncapped: ETH, SOL, ATOM, NEAR",4,2.575845144522927,1.1828536034224109
2023,Uncapped excluding SOL,3,0.7866006366599542,0.8509000680595178
2023,"2020 available capped: BTC, ADA",2,1.3108453060351293,1.3108453060351293
2023,"2020 available uncapped: ETH, ATOM",2,0.4224973855972793,0.4224973855972793
2024,"Capped: BTC, AVAX, ADA",3,0.9103440199471605,1.212718232803768
2024,"Uncapped: ETH, SOL, ATOM, NEAR",4,0.6614534882608338,0.7375082348157453
2024,Uncapped excluding SOL,3,0.41851817842762806,0.6348731076613257
2024,"2020 available capped: BTC, ADA",2,1.225021268632072,1.225021268632072
2024,"2020 available uncapped: ETH, ATOM",2,0.20770558665635958,0.20770558665635958
2025,"Capped: BTC, AVAX, ADA",3,-0.4580147946497168,-0.634107338862183
2025,"Uncapped: ETH, SOL, ATOM, NEAR",4,-0.4744318319572368,-0.5271077459514746
2025,Uncapped excluding SOL,3,-0.5084014760071965,-0.6816925920955917
2025,"2020 available capped: BTC, ADA",2,-0.3521524324328518,-0.3521524324328518
2025,"2020 available uncapped: ETH, ATOM",2,-0.40873006186181565,-0.40873006186181565
2026 partial,"Capped: BTC, AVAX, ADA",3,-0.3358438972635151,-0.4423265509759555
2026 partial,"Uncapped: ETH, SOL, ATOM, NEAR",4,-0.0778387403502657,-0.2021942732582897
2026 partial,Uncapped excluding SOL,3,-0.03544526776820741,-0.19936938842013885
2026 partial,"2020 available capped: BTC, ADA",2,-0.2816764945763452,-0.2816764945763452
2026 partial,"2020 available uncapped: ETH, ATOM",2,-0.2583537093998226,-0.2583537093998226
