token,start_date,end_date,start_price,end_price,start_circulating,end_circulating,start_ratio,end_ratio,first_supply_date,first_reported_circulating,price_return,common_start_date,return_since_common_may_2023,circulation_growth
BTC,2020-01-05,2026-09-06,7411.31732676,80350.04312038,18143812.0,20080771.0,0.8639910476190477,0.9562271904761904,2020-01-05,18143812.0,9.841533235968804,2023-05-07,1.823760479244375,0.10675590113036892
ETH,2020-01-05,2026-09-06,136.27677671,2514.54887155,109157038.999,122026782.25209972,,,2020-01-05,109157038.999,17.451778301896702,2023-05-07,0.34246994754161064,0.11790117587577309
AVAX,2020-10-04,2026-09-06,3.96110965,7.90787454,24500000.0,431771961.1772119,0.034027777777777775,0.5996832794127943,2020-10-04,24500000.0,0.9963786006277306,2023-05-07,-0.5192118063852251,16.623345354171914
SOL,2020-05-03,2026-09-06,0.67953457,106.44762918,,586080140.798072,,,2020-06-07,17250489.5461051,155.64784968923658,2023-05-07,3.873032022586308,
APT,2022-11-06,2026-09-06,7.29846481,0.62437157,130000000.0,858566672.6835747,,,2022-11-06,130000000.0,-0.9144516571286996,2023-05-07,-0.9323424686653076,5.604359020642882
SUI,2023-05-07,2026-09-06,1.24090343,0.80954658,528273718.0,4096537146.5409594,0.0528273718,0.40965371465409595,2023-05-07,528273718.0,-0.34761516454185315,2023-05-07,-0.34761516454185315,6.754573068768413
ADA,2020-01-05,2026-09-06,0.03472142,0.22312039,25927070538.0,36738713412.774826,0.5761571230666667,0.8164158536172184,2020-01-05,25927070538.0,5.426015698666702,2023-05-07,-0.4080213445182931,0.4170021005238038
DOT,2020-09-06,2026-09-06,4.79946794,0.97659242,852647705.0,1701582342.7459934,,,2020-09-06,852647705.0,-0.7965206909997611,2023-05-07,-0.8268845103002513,0.9956452503979862
ATOM,2020-01-05,2026-09-06,4.23187727,1.59577098,190688439.2,528917025.862552,,,2020-01-05,190688439.2,-0.6229165265938821,2023-05-07,-0.8549962930788332,1.7737236094727655
NEAR,2020-11-01,2026-09-06,0.63429566,2.43355889,174876443.0,1305642142.0,,,2020-11-01,174876443.0,2.8366317846160256,2023-05-07,0.39911065744265994,6.466083593660468
