date,month,token,cmc_id,price_usd,circulating,total_reported,max_reported,market_cap_usd,row_last_updated,quote_last_updated,source_url,policy_ceiling,ratio
2020-01-05,2020-01,BTC,1,7411.31732676,18143812.0,18143812.0,21000000.0,134469548249.076,2020-01-05T23:59:02.000Z,2020-01-05T00:00:00.000Z,https://coinmarketcap.com/historical/20200105/,21000000.0,0.8639910476190477
2020-01-05,2020-01,ETH,1027,136.27677671,109157038.999,109157038.999,,14875569429.664015,2020-01-05T23:59:02.000Z,2020-01-05T00:00:00.000Z,https://coinmarketcap.com/historical/20200105/,,
2020-01-05,2020-01,ADA,2010,0.03472142,25927070538.0,31112483745.0,45000000000.0,900224705.7813873,2020-01-05T23:59:05.000Z,2020-01-05T00:00:00.000Z,https://coinmarketcap.com/historical/20200105/,45000000000.0,0.5761571230666667
2020-01-05,2020-01,ATOM,3794,4.23187727,190688439.2,237928230.821588,,806970071.7444313,2020-01-05T23:59:12.000Z,2020-01-05T00:00:00.000Z,https://coinmarketcap.com/historical/20200105/,,
2020-02-02,2020-02,BTC,1,9344.36529292,18196525.0,18196525.0,21000000.0,170034976661.7511,2020-02-02T23:59:01.000Z,2020-02-02T00:00:00.000Z,https://coinmarketcap.com/historical/20200202/,21000000.0,0.8665011904761905
2020-02-02,2020-02,ETH,1027,188.61753817,109538786.624,109538786.624,,20660936266.92873,2020-02-02T23:59:03.000Z,2020-02-02T00:00:00.000Z,https://coinmarketcap.com/historical/20200202/,,
2020-02-02,2020-02,ADA,2010,0.05576783,25927070538.0,31112483745.0,45000000000.0,1445896374.6028826,2020-02-02T23:59:07.000Z,2020-02-02T00:00:00.000Z,https://coinmarketcap.com/historical/20200202/,45000000000.0,0.5761571230666667
2020-02-02,2020-02,ATOM,3794,4.40676455,190688439.2,237928230.821588,,840319053.421742,2020-02-02T23:59:13.000Z,2020-02-02T00:00:00.000Z,https://coinmarketcap.com/historical/20200202/,,
2020-03-01,2020-03,BTC,1,8562.45405008,18246987.0,18246987.0,21000000.0,156238987739.9071,2020-03-01T23:59:00.000Z,2020-03-01T00:00:00.000Z,https://coinmarketcap.com/historical/20200301/,21000000.0,0.8689041428571429
2020-03-01,2020-03,ETH,1027,218.97059993,109920664.874,109920664.874,,24069393931.834496,2020-03-01T23:59:00.000Z,2020-03-01T00:00:00.000Z,https://coinmarketcap.com/historical/20200301/,,
2020-03-01,2020-03,ADA,2010,0.04593244,25927070538.0,31112483745.0,45000000000.0,1190893585.9846437,2020-03-01T23:59:01.000Z,2020-03-01T00:00:00.000Z,https://coinmarketcap.com/historical/20200301/,45000000000.0,0.5761571230666667
2020-03-01,2020-03,ATOM,3794,3.36827523,190688439.2,237928230.821588,,642291145.5313679,2020-03-01T23:59:03.000Z,2020-03-01T00:00:00.000Z,https://coinmarketcap.com/historical/20200301/,,
2020-04-05,2020-04,BTC,1,6791.12944093,18307537.0,18307537.0,21000000.0,124328853511.61528,2020-04-05T23:59:00.000Z,2020-04-05T00:00:00.000Z,https://coinmarketcap.com/historical/20200405/,21000000.0,0.8717874761904761
2020-04-05,2020-04,ETH,1027,143.54664871,110398143.4365,110398143.4365,,15847283514.115458,2020-04-05T23:59:00.000Z,2020-04-05T00:00:00.000Z,https://coinmarketcap.com/historical/20200405/,,
2020-04-05,2020-04,ADA,2010,0.0320028,25927070538.0,31112483745.0,45000000000.0,829738785.5771959,2020-04-05T23:59:00.000Z,2020-04-05T00:00:00.000Z,https://coinmarketcap.com/historical/20200405/,45000000000.0,0.5761571230666667
2020-04-05,2020-04,ATOM,3794,2.06658431,190688439.2,237928230.821588,,394073736.07048094,2020-04-05T23:59:02.000Z,2020-04-05T00:00:00.000Z,https://coinmarketcap.com/historical/20200405/,,
2020-05-03,2020-05,BTC,1,8897.46850985,18360075.0,18360075.0,21000000.0,163358189150.98422,2020-05-03T23:59:00.000Z,2020-05-03T00:00:00.000Z,https://coinmarketcap.com/historical/20200503/,21000000.0,0.8742892857142858
2020-05-03,2020-05,ETH,1027,210.93315693,110780012.999,110780012.999,,23367177866.625507,2020-05-03T23:59:01.000Z,2020-05-03T00:00:00.000Z,https://coinmarketcap.com/historical/20200503/,,
2020-05-03,2020-05,ADA,2010,0.04892884,25927070538.0,31112483745.0,45000000000.0,1268581579.907031,2020-05-03T23:59:01.000Z,2020-05-03T00:00:00.000Z,https://coinmarketcap.com/historical/20200503/,45000000000.0,0.5761571230666667
2020-05-03,2020-05,ATOM,3794,2.77714602,190688439.2,237928230.821588,,529569640.52775395,2020-05-03T23:59:07.000Z,2020-05-03T00:00:00.000Z,https://coinmarketcap.com/historical/20200503/,,
