cohort,tokens,horizon_months,rows,start_windows,first_start,last_start,demeaned_pearson,nonoverlapping_offset_min,nonoverlapping_offset_max
2020 pair,2,3,156,78,2020-01-05,2026-06-07,-0.2583794608200099,-0.3115284129395712,-0.2132417502412678
2020 pair,2,12,138,69,2020-01-05,2025-09-07,-0.7422838559692075,-0.9838418053704154,-0.39597373810520925
AVAX-era core,3,3,207,69,2020-10-04,2026-06-07,-0.16560582151747888,-0.25159186615671564,-0.06752341195824461
AVAX-era core,3,12,180,60,2020-10-04,2025-09-07,-0.5951438585580464,-0.7445066038363738,-0.3600687783826649
AVAX-era core ex BTC,2,3,138,69,2020-10-04,2026-06-07,0.02426996510532032,-0.01643532524115964,0.08442830947025774
AVAX-era core ex BTC,2,12,120,60,2020-10-04,2025-09-07,-0.4944568264942239,-0.822915475506999,0.04032892948437766
2021 core,3,3,198,66,2021-01-03,2026-06-07,-0.21116940928300826,-0.3294095861842089,-0.12583659460954255
2021 core,3,12,171,57,2021-01-03,2025-09-07,-0.5918257724171025,-0.7215082182126317,-0.04960139749208648
2021 core ex BTC,2,3,132,66,2021-01-03,2026-06-07,-0.060544652346649505,-0.14082726499171067,-0.014032249175637359
2021 core ex BTC,2,12,114,57,2021-01-03,2025-09-07,-0.5700619868290268,-0.7663068219158129,-0.0031275145069562496
SUI-era core,4,3,152,38,2023-05-07,2026-06-07,0.03749373169987549,-0.0023852619281454967,0.062020173170789505
SUI-era core,4,12,116,29,2023-05-07,2025-09-07,-0.2085301979882253,-0.8655073104605772,0.12327017425018556
SUI-era core ex BTC,3,3,114,38,2023-05-07,2026-06-07,0.07544215414479642,0.054291210885743846,0.10497398116849252
SUI-era core ex BTC,3,12,87,29,2023-05-07,2025-09-07,-0.15154298378870856,-0.8873037914550148,0.17476497133783225
